Time and date,EEG Fpz-Cz,reference,EEG Pz-Oz,Sleep Stage
'[16:13:03.340 24/04/1989]',50.075,-50.075,10.077,
'[16:13:03.350 24/04/1989]',41.26,-41.26,5.854,
'[16:13:03.360 24/04/1989]',23.349,-23.349,8.253,
'[16:13:03.370 24/04/1989]',12.659,-12.659,11.037,
'[16:13:03.380 24/04/1989]',7.971,7.971,6.814,
'[16:13:03.390 24/04/1989]',27.194,27.194,5.758,
'[16:13:03.400 24/04/1989]',24.756,24.756,5.278,
'[16:13:03.410 24/04/1989]',40.885,40.885,2.207,
'[16:13:03.420 24/04/1989]',46.418,46.418,-2.591,
'[16:13:03.430 24/04/1989]',52.982,52.982,-4.607,
'[16:13:03.440 24/04/1989]',55.138,55.138,-3.551,
'[16:13:03.450 24/04/1989]',64.516,64.516,2.879,
'[16:13:03.460 24/04/1989]',56.639,56.639,5.854,
'[16:13:03.470 24/04/1989]',57.201,57.201,8.062,
'[16:13:03.480 24/04/1989]',49.137,49.137,8.349,
'[16:13:03.490 24/04/1989]',69.017,69.017,4.895,
'[16:13:03.500 24/04/1989]',9.377,9.377,8.925,
'[16:13:03.510 24/04/1989]',24.381,24.381,9.981,
'[16:13:03.520 24/04/1989]',25.131,25.131,13.34,
'[16:13:03.530 24/04/1989]',9.94,-9.94,9.597,
'[16:13:03.540 24/04/1989]',18.192,18.192,5.182,
'[16:13:03.550 24/04/1989]',15.004,15.004,4.799,
'[16:13:03.560 24/04/1989]',18.848,18.848,7.198,
'[16:13:03.570 24/04/1989]',12.003,12.003,9.309,
'[16:13:03.580 24/04/1989]',17.442,17.442,10.077,
'[16:13:03.590 24/04/1989]',21.286,21.286,10.365,
'[16:13:03.600 24/04/1989]',7.033,7.033,8.349,
'[16:13:03.610 24/04/1989]',6.939,6.939,6.142,
'[16:13:03.620 24/04/1989]',17.442,17.442,6.142,
'[16:13:03.630 24/04/1989]',9.94,9.94,8.445,
'[16:13:03.640 24/04/1989]',6.095,6.095,11.037,
'[16:13:03.650 24/04/1989]',9.846,9.846,10.653,
'[16:13:03.660 24/04/1989]',10.69,10.69,6.622,
'[16:13:03.670 24/04/1989]',12.659,12.659,7.294,
'[16:13:03.680 24/04/1989]',14.347,14.347,6.334,
'[16:13:03.690 24/04/1989]',15.566,15.566,7.006,
'[16:13:03.700 24/04/1989]',9.659,9.659,8.349,
'[16:13:03.710 24/04/1989]',11.909,11.909,7.966,
'[16:13:03.720 24/04/1989]',13.597,13.597,12.476,
'[16:13:03.730 24/04/1989]',8.627,8.627,8.541,
'[16:13:03.740 24/04/1989]',4.595,4.595,10.269,
'[16:13:03.750 24/04/1989]',9.565,9.565,3.839,
'[16:13:03.760 24/04/1989]',24.287,24.287,5.662,
'[16:13:03.770 24/04/1989]',17.629,17.629,4.415,
'[16:13:03.780 24/04/1989]',17.723,17.723,4.319,
'[16:13:03.790 24/04/1989]',10.596,10.596,8.349,
'[16:13:03.800 24/04/1989]',3.47,3.47,9.981,
'[16:13:03.810 24/04/1989]',9.284,9.284,11.037,
'[16:13:03.820 24/04/1989]',2.251,-2.251,11.325,
'[16:13:03.830 24/04/1989]',6.564,6.564,10.749,
'[16:13:03.840 24/04/1989]',4.032,4.032,6.238,
'[16:13:03.850 24/04/1989]',5.533,5.533,6.334,
'[16:13:03.860 24/04/1989]',3.47,3.47,5.086,
'[16:13:03.870 24/04/1989]',2.719,-2.719,7.102,
'[16:13:03.880 24/04/1989]',5.908,-5.908,6.91,
'[16:13:03.890 24/04/1989]',7.502,7.502,5.374,
'[16:13:03.900 24/04/1989]',11.44,-11.44,8.445,
'[16:13:03.910 24/04/1989]',4.876,-4.876,3.071,
'[16:13:03.920 24/04/1989]',13.597,-13.597,2.111,
'[16:13:03.930 24/04/1989]',8.158,-8.158,2.015,
'[16:13:03.940 24/04/1989]',24.475,-24.475,1.823,
'[16:13:03.950 24/04/1989]',10.971,-10.971,0.864,
'[16:13:03.960 24/04/1989]',11.815,-11.815,0.576,
'[16:13:03.970 24/04/1989]',18.848,-18.848,3.071,
'[16:13:03.980 24/04/1989]',21.568,-21.568,5.278,
'[16:13:03.990 24/04/1989]',13.785,-13.785,4.319,
'[16:13:04.000 24/04/1989]',25.037,-25.037,3.647,
'[16:13:04.010 24/04/1989]',38.822,-38.822,2.879,
'[16:13:04.020 24/04/1989]',58.421,-58.421,0.096,
'[16:13:04.030 24/04/1989]',65.453,-65.453,-5.662,
'[16:13:04.040 24/04/1989]',90.866,-90.866,-8.637,
'[16:13:04.050 24/04/1989]',88.615,-88.615,-9.309,
'[16:13:04.060 24/04/1989]',89.647,-89.647,-5.086,
'[16:13:04.070 24/04/1989]',88.147,-88.147,-2.399,
'[16:13:04.080 24/04/1989]',83.739,-83.739,-0.384,
'[16:13:04.090 24/04/1989]',81.02,-81.02,4.799,
'[16:13:04.100 24/04/1989]',63.578,-63.578,2.687,
'[16:13:04.110 24/04/1989]',55.42,-55.42,0.672,
'[16:13:04.120 24/04/1989]',37.978,-37.978,0.192,
'[16:13:04.130 24/04/1989]',24.193,-24.193,-0.768,
'[16:13:04.140 24/04/1989]',12.753,-12.753,2.975,
'[16:13:04.150 24/04/1989]',0.375,0.375,1.632,
'[16:13:04.160 24/04/1989]',5.72,5.72,2.975,
'[16:13:04.170 24/04/1989]',10.034,10.034,1.248,
'[16:13:04.180 24/04/1989]',17.723,17.723,1.823,
'[16:13:04.190 24/04/1989]',19.88,19.88,-2.015,
'[16:13:04.200 24/04/1989]',23.443,23.443,-5.566,
'[16:13:04.210 24/04/1989]',19.505,19.505,-4.031,
'[16:13:04.220 24/04/1989]',21.849,21.849,-1.823,
'[16:13:04.230 24/04/1989]',25.694,25.694,1.44,
'[16:13:04.240 24/04/1989]',17.723,17.723,1.919,
'[16:13:04.250 24/04/1989]',16.598,16.598,-0.672,
'[16:13:04.260 24/04/1989]',9.096,9.096,2.207,
'[16:13:04.270 24/04/1989]',1.782,-1.782,2.495,
'[16:13:04.280 24/04/1989]',17.067,-17.067,0.096,
'[16:13:04.290 24/04/1989]',32.164,-32.164,-0.864,
'[16:13:04.300 24/04/1989]',38.822,-38.822,-3.167,
'[16:13:04.310 24/04/1989]',77.738,-77.738,-3.263,
'[16:13:04.320 24/04/1989]',76.8,-76.8,-4.607,
'[16:13:04.330 24/04/1989]',74.081,-74.081,-3.743,
'[16:13:04.340 24/04/1989]',67.235,-67.235,-6.334,
'[16:13:04.350 24/04/1989]',48.856,-48.856,-6.046,
'[16:13:04.360 24/04/1989]',43.136,-43.136,-3.743,
'[16:13:04.370 24/04/1989]',26.35,-26.35,-3.551,
'[16:13:04.380 24/04/1989]',5.158,5.158,-4.415,
'[16:13:04.390 24/04/1989]',19.974,19.974,-4.223,
'[16:13:04.400 24/04/1989]',24.006,24.006,-4.799,
'[16:13:04.410 24/04/1989]',36.009,36.009,-2.111,
'[16:13:04.420 24/04/1989]',47.918,47.918,-1.344,
'[16:13:04.430 24/04/1989]',51.012,51.012,-5.758,
'[16:13:04.440 24/04/1989]',50.168,50.168,-8.158,
'[16:13:04.450 24/04/1989]',54.107,54.107,-9.693,
'[16:13:04.460 24/04/1989]',57.577,57.577,-5.758,
'[16:13:04.470 24/04/1989]',54.295,54.295,-4.703,
'[16:13:04.480 24/04/1989]',55.232,55.232,-2.303,
'[16:13:04.490 24/04/1989]',51.012,51.012,-3.743,
'[16:13:04.500 24/04/1989]',47.355,47.355,0.768,
'[16:13:04.510 24/04/1989]',46.793,46.793,4.031,
'[16:13:04.520 24/04/1989]',38.541,38.541,9.981,
'[16:13:04.530 24/04/1989]',39.853,39.853,11.612,
'[16:13:04.540 24/04/1989]',36.196,36.196,6.334,
'[16:13:04.550 24/04/1989]',40.885,40.885,3.647,
'[16:13:04.560 24/04/1989]',39.197,39.197,2.975,
'[16:13:04.570 24/04/1989]',31.508,31.508,5.182,
'[16:13:04.580 24/04/1989]',34.884,34.884,2.687,
'[16:13:04.590 24/04/1989]',39.103,39.103,3.167,
'[16:13:04.600 24/04/1989]',13.878,13.878,5.278,
'[16:13:04.610 24/04/1989]',6.845,6.845,4.511,
'[16:13:04.620 24/04/1989]',9.096,-9.096,0.864,
'[16:13:04.630 24/04/1989]',21.943,-21.943,0.576,
'[16:13:04.640 24/04/1989]',50.919,-50.919,0.48,
'[16:13:04.650 24/04/1989]',59.077,-59.077,-1.44,
'[16:13:04.660 24/04/1989]',58.233,-58.233,-0.48,
'[16:13:04.670 24/04/1989]',61.609,-61.609,3.167,
'[16:13:04.680 24/04/1989]',52.607,-52.607,5.95,
'[16:13:04.690 24/04/1989]',37.134,-37.134,8.158,
'[16:13:04.700 24/04/1989]',23.631,-23.631,8.253,
'[16:13:04.710 24/04/1989]',1.032,-1.032,7.006,
'[16:13:04.720 24/04/1989]',18.942,18.942,4.511,
'[16:13:04.730 24/04/1989]',44.823,44.823,2.015,
'[16:13:04.740 24/04/1989]',55.701,55.701,-1.536,
'[16:13:04.750 24/04/1989]',63.672,63.672,4.415,
'[16:13:04.760 24/04/1989]',71.267,71.267,6.142,
'[16:13:04.770 24/04/1989]',74.456,74.456,6.718,
'[16:13:04.780 24/04/1989]',75.862,75.862,4.511,
'[16:13:04.790 24/04/1989]',73.143,73.143,2.591,
'[16:13:04.800 24/04/1989]',72.393,72.393,-1.823,
'[16:13:04.810 24/04/1989]',76.237,76.237,-3.263,
'[16:13:04.820 24/04/1989]',67.329,67.329,2.495,
'[16:13:04.830 24/04/1989]',65.172,65.172,9.981,
'[16:13:04.840 24/04/1989]',60.671,60.671,11.133,
'[16:13:04.850 24/04/1989]',59.733,59.733,9.789,
'[16:13:04.860 24/04/1989]',58.796,58.796,8.925,
'[16:13:04.870 24/04/1989]',51.95,51.95,9.597,
'[16:13:04.880 24/04/1989]',52.794,52.794,8.829,
'[16:13:04.890 24/04/1989]',69.111,69.111,7.87,
'[16:13:04.900 24/04/1989]',31.226,31.226,10.557,
'[16:13:04.910 24/04/1989]',50.356,50.356,6.814,
'[16:13:04.920 24/04/1989]',45.667,45.667,7.294,
'[16:13:04.930 24/04/1989]',47.355,47.355,2.687,
'[16:13:04.940 24/04/1989]',41.823,41.823,6.526,
'[16:13:04.950 24/04/1989]',40.416,40.416,4.895,
'[16:13:04.960 24/04/1989]',38.728,38.728,10.173,
'[16:13:04.970 24/04/1989]',33.946,33.946,12.572,
'[16:13:04.980 24/04/1989]',34.04,34.04,12.476,
'[16:13:04.990 24/04/1989]',27.944,27.944,11.229,
'[16:13:05.000 24/04/1989]',26.632,26.632,12.188,
'[16:13:05.010 24/04/1989]',26.35,26.35,10.749,
'[16:13:05.020 24/04/1989]',25.881,25.881,10.941,
'[16:13:05.030 24/04/1989]',16.785,16.785,8.733,
'[16:13:05.040 24/04/1989]',15.941,15.941,9.501,
'[16:13:05.050 24/04/1989]',16.035,16.035,6.91,
'[16:13:05.060 24/04/1989]',13.503,13.503,2.879,
'[16:13:05.070 24/04/1989]',12.19,12.19,5.374,
'[16:13:05.080 24/04/1989]',14.253,14.253,7.39,
'[16:13:05.090 24/04/1989]',8.908,8.908,5.182,
'[16:13:05.100 24/04/1989]',7.596,7.596,4.799,
'[16:13:05.110 24/04/1989]',5.814,5.814,6.526,
'[16:13:05.120 24/04/1989]',0.375,0.375,8.637,
'[16:13:05.130 24/04/1989]',1.782,1.782,5.662,
'[16:13:05.140 24/04/1989]',0.844,-0.844,7.294,
'[16:13:05.150 24/04/1989]',3.938,3.938,6.622,
'[16:13:05.160 24/04/1989]',28.695,28.695,3.071,
'[16:13:05.170 24/04/1989]',9.096,-9.096,5.374,
'[16:13:05.180 24/04/1989]',15.097,15.097,2.495,
'[16:13:05.190 24/04/1989]',15.191,15.191,4.99,
'[16:13:05.200 24/04/1989]',25.788,25.788,5.758,
'[16:13:05.210 24/04/1989]',19.599,19.599,4.319,
'[16:13:05.220 24/04/1989]',16.223,16.223,3.071,
'[16:13:05.230 24/04/1989]',29.632,29.632,4.895,
'[16:13:05.240 24/04/1989]',32.821,32.821,2.495,
'[16:13:05.250 24/04/1989]',30.945,30.945,1.248,
'[16:13:05.260 24/04/1989]',30.007,30.007,1.056,
'[16:13:05.270 24/04/1989]',28.695,28.695,-2.879,
'[16:13:05.280 24/04/1989]',31.226,31.226,0,
'[16:13:05.290 24/04/1989]',28.976,28.976,7.198,
'[16:13:05.300 24/04/1989]',28.601,28.601,7.486,
'[16:13:05.310 24/04/1989]',25.506,25.506,9.885,
'[16:13:05.320 24/04/1989]',17.442,17.442,14.779,
'[16:13:05.330 24/04/1989]',14.816,14.816,12.572,
'[16:13:05.340 24/04/1989]',17.16,17.16,7.102,
'[16:13:05.350 24/04/1989]',16.879,16.879,6.046,
'[16:13:05.360 24/04/1989]',11.815,11.815,4.607,
'[16:13:05.370 24/04/1989]',15.097,15.097,-0.48,
'[16:13:05.380 24/04/1989]',13.222,13.222,-1.248,
'[16:13:05.390 24/04/1989]',11.347,11.347,0.096,
'[16:13:05.400 24/04/1989]',4.501,4.501,3.743,
'[16:13:05.410 24/04/1989]',4.126,4.126,3.839,
'[16:13:05.420 24/04/1989]',1.782,1.782,0.192,
'[16:13:05.430 24/04/1989]',5.345,5.345,1.632,
'[16:13:05.440 24/04/1989]',16.692,16.692,0.576,
'[16:13:05.450 24/04/1989]',14.347,-14.347,1.248,
'[16:13:05.460 24/04/1989]',6.564,6.564,3.935,
'[16:13:05.470 24/04/1989]',5.908,5.908,2.303,
'[16:13:05.480 24/04/1989]',6.283,6.283,2.111,
'[16:13:05.490 24/04/1989]',13.503,13.503,-0.864,
'[16:13:05.500 24/04/1989]',14.816,14.816,1.248,
'[16:13:05.510 24/04/1989]',11.534,11.534,5.758,
'[16:13:05.520 24/04/1989]',12.284,12.284,4.607,
'[16:13:05.530 24/04/1989]',7.033,7.033,6.334,
'[16:13:05.540 24/04/1989]',13.128,13.128,1.344,
'[16:13:05.550 24/04/1989]',7.314,7.314,0.48,
'[16:13:05.560 24/04/1989]',6.939,6.939,0.96,
'[16:13:05.570 24/04/1989]',6.095,6.095,1.248,
'[16:13:05.580 24/04/1989]',2.157,-2.157,4.415,
'[16:13:05.590 24/04/1989]',9.096,-9.096,8.541,
'[16:13:05.600 24/04/1989]',8.346,-8.346,10.077,
'[16:13:05.610 24/04/1989]',7.314,-7.314,6.526,
'[16:13:05.620 24/04/1989]',8.346,-8.346,0.192,
'[16:13:05.630 24/04/1989]',6.752,-6.752,0.768,
'[16:13:05.640 24/04/1989]',10.69,-10.69,-1.248,
'[16:13:05.650 24/04/1989]',11.722,-11.722,-2.687,
'[16:13:05.660 24/04/1989]',10.315,-10.315,-2.591,
'[16:13:05.670 24/04/1989]',7.033,-7.033,-3.071,
'[16:13:05.680 24/04/1989]',13.878,-13.878,1.344,
'[16:13:05.690 24/04/1989]',15.004,-15.004,0.48,
'[16:13:05.700 24/04/1989]',13.222,-13.222,-1.632,
'[16:13:05.710 24/04/1989]',14.066,-14.066,-2.591,
'[16:13:05.720 24/04/1989]',15.473,-15.473,-2.303,
'[16:13:05.730 24/04/1989]',23.725,-23.725,-0.48,
'[16:13:05.740 24/04/1989]',25.788,-25.788,-0.48,
'[16:13:05.750 24/04/1989]',24.756,-24.756,3.167,
'[16:13:05.760 24/04/1989]',46.136,-46.136,2.495,
'[16:13:05.770 24/04/1989]',58.889,-58.889,2.207,
'[16:13:05.780 24/04/1989]',88.803,-88.803,5.278,
'[16:13:05.790 24/04/1989]',93.679,-93.679,-0.672,
'[16:13:05.800 24/04/1989]',116.466,-116.466,1.632,
'[16:13:05.810 24/04/1989]',121.342,-121.342,0,
'[16:13:05.820 24/04/1989]',121.53,-121.53,1.727,
'[16:13:05.830 24/04/1989]',120.967,-120.967,2.591,
'[16:13:05.840 24/04/1989]',120.498,-120.498,0.192,
'[16:13:05.850 24/04/1989]',120.311,-120.311,-0.96,
'[16:13:05.860 24/04/1989]',117.966,-117.966,-0.48,
'[16:13:05.870 24/04/1989]',112.34,-112.34,-2.591,
'[16:13:05.880 24/04/1989]',104.275,-104.275,-4.223,
'[16:13:05.890 24/04/1989]',90.866,-90.866,-5.662,
'[16:13:05.900 24/04/1989]',81.207,-81.207,-6.142,
'[16:13:05.910 24/04/1989]',72.299,-72.299,-9.405,
'[16:13:05.920 24/04/1989]',71.361,-71.361,-10.269,
'[16:13:05.930 24/04/1989]',60.202,-60.202,-11.037,
'[16:13:05.940 24/04/1989]',56.451,-56.451,-11.325,
'[16:13:05.950 24/04/1989]',52.7,-52.7,-13.244,
'[16:13:05.960 24/04/1989]',51.2,-51.2,-13.628,
'[16:13:05.970 24/04/1989]',49.418,-49.418,-16.123,
'[16:13:05.980 24/04/1989]',53.638,-53.638,-10.173,
'[16:13:05.990 24/04/1989]',49.606,-49.606,-7.006,
'[16:13:06.000 24/04/1989]',53.919,-53.919,-1.44,
'[16:13:06.010 24/04/1989]',53.826,-53.826,-0.864,
'[16:13:06.020 24/04/1989]',53.451,-53.451,-1.919,
'[16:13:06.030 24/04/1989]',56.639,-56.639,-5.182,
'[16:13:06.040 24/04/1989]',55.889,-55.889,-7.966,
'[16:13:06.050 24/04/1989]',50.825,-50.825,-11.421,
'[16:13:06.060 24/04/1989]',54.388,-54.388,-10.269,
'[16:13:06.070 24/04/1989]',59.921,-59.921,-8.062,
'[16:13:06.080 24/04/1989]',57.483,-57.483,-7.582,
'[16:13:06.090 24/04/1989]',56.076,-56.076,-9.789,
'[16:13:06.100 24/04/1989]',66.016,-66.016,-14.684,
'[16:13:06.110 24/04/1989]',65.641,-65.641,-14.012,
'[16:13:06.120 24/04/1989]',70.705,-70.705,-14.492,
'[16:13:06.130 24/04/1989]',72.393,-72.393,-14.012,
'[16:13:06.140 24/04/1989]',64.047,-64.047,-12.764,
'[16:13:06.150 24/04/1989]',62.547,-62.547,-11.229,
'[16:13:06.160 24/04/1989]',57.389,-57.389,-11.804,
'[16:13:06.170 24/04/1989]',57.108,-57.108,-10.269,
'[16:13:06.180 24/04/1989]',55.701,-55.701,-9.789,
'[16:13:06.190 24/04/1989]',60.577,-60.577,-7.006,
'[16:13:06.200 24/04/1989]',56.358,-56.358,-6.334,
'[16:13:06.210 24/04/1989]',58.983,-58.983,-6.814,
'[16:13:06.220 24/04/1989]',56.826,-56.826,-4.511,
'[16:13:06.230 24/04/1989]',57.389,-57.389,-1.44,
'[16:13:06.240 24/04/1989]',58.139,-58.139,0.96,
'[16:13:06.250 24/04/1989]',53.919,-53.919,0.576,
'[16:13:06.260 24/04/1989]',51.294,-51.294,-1.056,
'[16:13:06.270 24/04/1989]',50.075,-50.075,-6.142,
'[16:13:06.280 24/04/1989]',48.574,-48.574,-11.037,
'[16:13:06.290 24/04/1989]',45.48,-45.48,-17.179,
'[16:13:06.300 24/04/1989]',40.322,-40.322,-20.058,
'[16:13:06.310 24/04/1989]',39.666,-39.666,-18.81,
'[16:13:06.320 24/04/1989]',39.478,-39.478,-15.931,
'[16:13:06.330 24/04/1989]',36.384,-36.384,-14.971,
'[16:13:06.340 24/04/1989]',44.636,-44.636,-10.749,
'[16:13:06.350 24/04/1989]',42.385,-42.385,-8.925,
'[16:13:06.360 24/04/1989]',43.042,-43.042,-9.021,
'[16:13:06.370 24/04/1989]',40.979,-40.979,-15.835,
'[16:13:06.380 24/04/1989]',38.822,-38.822,-15.643,
'[16:13:06.390 24/04/1989]',43.979,-43.979,-12.764,
'[16:13:06.400 24/04/1989]',52.982,-52.982,-13.532,
'[16:13:06.410 24/04/1989]',45.199,-45.199,-15.643,
'[16:13:06.420 24/04/1989]',95.273,-95.273,-12.764,
'[16:13:06.430 24/04/1989]',95.836,-95.836,-16.795,
'[16:13:06.440 24/04/1989]',95.179,-95.179,-16.219,
'[16:13:06.450 24/04/1989]',93.304,-93.304,-16.987,
'[16:13:06.460 24/04/1989]',91.71,-91.71,-16.507,
'[16:13:06.470 24/04/1989]',89.178,-89.178,-12.86,
'[16:13:06.480 24/04/1989]',86.271,-86.271,-11.037,
'[16:13:06.490 24/04/1989]',82.051,-82.051,-9.885,
'[16:13:06.500 24/04/1989]',76.425,-76.425,-13.148,
'[16:13:06.510 24/04/1989]',67.985,-67.985,-15.259,
'[16:13:06.520 24/04/1989]',56.733,-56.733,-15.163,
'[16:13:06.530 24/04/1989]',53.357,-53.357,-17.467,
'[16:13:06.540 24/04/1989]',44.355,-44.355,-16.411,
'[16:13:06.550 24/04/1989]',32.821,-32.821,-13.724,
'[16:13:06.560 24/04/1989]',30.101,-30.101,-11.229,
'[16:13:06.570 24/04/1989]',28.319,-28.319,-9.117,
'[16:13:06.580 24/04/1989]',27.194,-27.194,-7.966,
'[16:13:06.590 24/04/1989]',25.694,-25.694,-8.445,
'[16:13:06.600 24/04/1989]',19.505,-19.505,-8.925,
'[16:13:06.610 24/04/1989]',21.005,-21.005,-10.269,
'[16:13:06.620 24/04/1989]',21.286,-21.286,-5.95,
'[16:13:06.630 24/04/1989]',21.943,-21.943,-2.783,
'[16:13:06.640 24/04/1989]',14.535,-14.535,-4.895,
'[16:13:06.650 24/04/1989]',10.034,-10.034,-5.086,
'[16:13:06.660 24/04/1989]',7.221,-7.221,-6.334,
'[16:13:06.670 24/04/1989]',2.063,-2.063,-3.455,
